gene_id,log2FoldChange,padj
Os10g0517050,-1.754228832,2.27e-11
Os05g0453300,0.827215816,2.62e-11
Os02g0299200,2.343643866,2.74e-11
Os07g0103500,-3.245971632,2.79e-11
Os04g0460350,1.019934516,2.83e-11
Os12g0628600,-2.020549301,2.87e-11
Os10g0191300,-1.271795053,3.08e-11
Os03g0306800,-2.247073059,3.49e-11
Os01g0580500,-2.114176932,3.61e-11
Os03g0707200,1.235053744,3.97e-11
Os11g0180900,1.521672666,4.58e-11
Os03g0141200,-1.561484184,4.61e-11
Os04g0337500,1.433202999,4.61e-11
Os02g0232500,-1.241615328,4.71e-11
Os01g0806200,1.498941811,4.73e-11
Os01g0266500,0.861383494,4.77e-11
Os04g0456700,0.97879125,4.85e-11
Os05g0551100,-1.367724031,5.21e-11
Os04g0550900,-1.883318024,5.26e-11
Os04g0381700,-1.525062495,5.61e-11
Os09g0533900,0.990322024,5.62e-11
Os07g0424400,1.026375585,6.14e-11
Os07g0674500,-1.197284964,6.17e-11
Os06g0234200,1.375804706,6.69e-11
Os09g0570900,1.325881688,7.06e-11
Os06g0594600,1.867943383,7.16e-11
Os09g0240200,-1.989582051,7.27e-11
Os01g0939600,1.578174504,7.67e-11
Os05g0125500,-0.857519883,7.76e-11
Os03g0119300,-0.883777759,8.02e-11
Os01g0607000,2.048209205,8.04e-11
Os06g0533700,-5.70038833,8.7e-11
Os02g0807000,-0.998939479,8.7e-11
Os08g0352400,-1.353808289,9.12e-11
Os09g0567500,2.492276935,9.29e-11
Os04g0578400,-1.84175828,9.42e-11
Os03g0367150,1.036474169,9.52e-11
Os03g0124000,2.274515022,1.05e-10
Os11g0275200,1.246909346,1.06e-10
Os06g0228500,1.459763876,1.08e-10
Os06g0167400,-0.955935564,1.09e-10
Os09g0388550,-1.868655739,1.09e-10
Os02g0525100,-1.228960702,1.1e-10
Os08g0512500,-1.768031834,1.14e-10
Os01g0588100,-1.688978966,1.2e-10
Os02g0620500,4.028735938,1.21e-10
Os08g0545700,-2.539837235,1.23e-10
Os05g0410900,-1.65347053,1.26e-10
Os03g0806800,1.069902722,1.36e-10
Os10g0453900,-2.348203601,1.41e-10
Os01g0740500,0.983096423,1.42e-10
Os05g0494000,0.875074924,1.43e-10
Os08g0511400,1.365578924,1.43e-10
Os02g0666200,-1.174161722,1.44e-10
Os01g0600900,-2.331835641,1.54e-10
Os06g0336200,-1.264846954,1.58e-10
Os04g0403701,-1.455306793,1.58e-10
Os03g0750700,1.00541066,1.59e-10
Os02g0182850,1.388283163,1.63e-10
Os04g0506300,1.527000709,1.63e-10
Os05g0482501,1.516843581,1.69e-10
Os12g0605800,-1.237862899,1.71e-10
Os05g0307100,1.31566662,1.73e-10
Os03g0116300,1.330178105,1.73e-10
Os11g0644800,-2.162057668,1.73e-10
Os05g0153000,1.28237664,1.77e-10
Os08g0492000,1.151696728,1.81e-10
Os01g0124401,-1.789958794,1.82e-10
Os03g0332100,1.855744693,1.84e-10
Os01g0121700,-0.824230347,1.92e-10
Os03g0254200,2.383347822,1.93e-10
Os03g0316200,1.203664251,1.94e-10
Os02g0591000,-2.128468034,1.95e-10
Os08g0469600,-1.916182171,1.96e-10
Os01g0720500,-2.527760168,2.05e-10
Os05g0408900,-1.339768611,2.14e-10
Os09g0114500,0.794362473,2.21e-10
Os03g0246500,0.704685628,2.22e-10
Os12g0576100,0.920449213,2.25e-10
Os09g0517200,-1.567039074,2.47e-10
Os10g0140700,-1.115648224,2.52e-10
Os03g0431600,-8.419149827,2.54e-10
Os10g0486100,1.431886589,2.55e-10
Os07g0274700,0.984340271,2.64e-10
Os05g0159300,1.225610321,2.71e-10
Os04g0692600,-1.313685859,2.78e-10
Os10g0555900,1.275890001,2.86e-10
Os04g0607400,-0.76797939,2.89e-10
Os02g0532800,-1.217135015,3.21e-10
Os05g0495000,0.86925802,3.22e-10
Os09g0246300,-3.559018212,3.25e-10
Os02g0586000,-2.584690289,3.28e-10
Os02g0612900,-2.37055271,3.3e-10
Os04g0367000,4.096239567,3.39e-10
Os11g0170200,0.96169088,3.4e-10
Os06g0218300,1.017992282,3.43e-10
Os06g0199000,-1.885250156,3.58e-10
Os10g0438600,2.505838869,3.58e-10
Os03g0650200,-3.080411172,3.71e-10
Os09g0549450,1.118168776,3.8e-10
Os03g0734000,-2.175717706,3.83e-10
Os08g0360300,-1.340735846,3.85e-10
Os06g0165800,0.708300286,3.94e-10
Os05g0164100,-1.078728859,4.22e-10
Os09g0532900,0.944377283,4.34e-10
Os09g0420300,1.215376475,4.42e-10
Os01g0299500,-0.900539254,4.64e-10
Os02g0569400,-2.846590232,4.64e-10
Os10g0167250,-1.855171175,4.78e-10
